city	area	population	kPopulation
Долина	Ивано-Франковская	22100 	1.0
Долинская	Кировоградская	24000 	1.0
Донецк	Донецкая	1050000 	1.0
Драница	Черновицкая	1761 	1.0
Дрогобыч	Львовская	79200 	1.0
Дружба	Сумская	6600 	1.0
Дружковка	Донецкая	74400 	1.0
Дубляны	Львовская	9000 	1.0
Дубно	Ровенская	41000 	1.0
Дубровица	Ровенская	10700 	1.0
Дунаевцы	Хмельницкая	18900 	1.0
Евпатория	Крым	114000 	1.0
Енакиево	Донецкая	111400 	1.0
Есень	Закарпатская	1677 	1.0
Жашков	Черкасская	16200 	1.0
Ждановка	Донецкая	13700 	1.0
Желтые Воды	Днепропетровская	54000 	1.0
Жидачев	Львовская	11600 	1.0
Житомир	Житомирская	299000 	1.0
Жмеринка	Винницкая	41200 	1.0
Жовтневая Революция	Одесская	683 	1.0
Заболотовцы	Львовская	733 	1.0
Заворичи	Киевская	2241 	1.0
Заланов	Ивано-Франковская	598 	1.0
Залещики	Тернопольская	11300 	1.0
Запорожье	Запорожская	848000 	1.0
Заставна	Черновицкая	10000 	1.0
Збараж	Тернопольская	14600 	1.0
Зборов	Тернопольская	8100 	1.0
Звенигородка	Черкасская	21800 	1.0
Здолбунов	Ровенская	27000 	1.0
Зеленогорское	Крым	2015 	1.0
Зеленодольск	Днепропетровская	16000 	1.0
Зеленый бор	Киевская	794 	1.0
Зелёный Гай	Днепропетровская	52 	1.0
Зеньков	Полтавская	10300 	1.0
Зиболки	Львовская	1201 	1.0
Зимогорье	Луганская	11700 	1.0
Змиев	Харьковская	16400 	1.0
Знаменка	Кировоградская	30000 	1.0
Золотое	Луганская	20000 	1.0
Золотоноша	Черкасская	30700 	1.0
Золочев	Харьковская	10200 	1.0
Золочев	Львовская	23900 	1.0
Зоринск	Луганская	8800 	1.0
Зугрэс	Донецкая	21500 	1.0
Иванковичи	Киевская	974 	1.0
Ивано-Франковск	Ивано-Франковская	237200 	1.0
Ивановка	Николаевская	567 	1.0
Ивча	Винницкая	1136 	1.0
Измаил	Одесская	95100 	1.0
Изюм	Харьковская	54300 	1.0
Изяслав	Хмельницкая	18300 	1.0
Иловайск	Донецкая	20000 	1.0
Ильинцы	Винницкая	11400 	1.0
Ильичевск	Одесская	54800 	1.0
Ингулец	Днепропетровская	38986 	1.0
Ингулец	Днепропетровская	627 	1.0
Инкерман	Севастополь	12800 	1.0
Ирпень	Киевская	37600 	1.0
Иршава	Закарпатская	10600 	1.0
Ичня	Черниговская	13700 	1.0
Кагарлык	Киевская	13700 	1.0
Казатин	Винницкая	26121 	1.0
Калаглия	Одесская	1650 	1.0
Калиновка	Винницкая	20800 	1.0
Калуш	Ивано-Франковская	72600 	1.0
Каменец-Подольский	Хмельницкая	108000 	1.0
Каменка	Черкасская	16400 	1.0
Каменка-Бугская	Львовская	11200 	1.0
Каменка-Днепровская	Запорожская	17200 	1.0
Каменное	Запорожская	1313 	1.0
Камень-Каширский	Волынская	11600 	1.0
Канев	Черкасская	28800 	1.0
Карловка	Полтавская	19600 	1.0
Каховка	Херсонская	41900 	1.0
Качкаровка	Херсонская	2508 	1.0
Керчь	Крым	171000 	1.0
Киверцы	Волынская	17400 	1.0
Киев	Киев	2628800 	1.0
Кизомыс	Херсонская	1797 	1.0
Килия	Одесская	25400 	1.0
Кировоград	Кировоградская	262800 	1.0
Кировск	Луганская	36300 	1.0
Кировское	Донецкая	31600 	1.0
Кицмань	Черновицкая	7600 	1.0
Кобеляки	Полтавская	11700 	1.0
Ковель	Волынская	69700 	1.0
Ковшаровка	Харьковская	19700 	1.0
Кодыма	Одесская	11400 	1.0
Козинцы	Винницкая	369 	1.0
Коленковцы	Черновицкая	5245 	1.0
Коломыя	Ивано-Франковская	66500 	1.0
Колонщина	Киевская	941 	1.0
Комарно	Львовская	3900 	1.0
Комаров	Винницкая	1190 	1.0
Комсомольск	Полтавская	53000 	1.0
Комсомольское	Харьковская	15300 	1.0
Комсомольское	Донецкая	13000 	1.0
Конотоп	Сумская	97700 	1.0
Константиновка	Донецкая	100000 	1.0
Копычинцы	Тернопольская	7400 	1.0
Корец	Ровенская	9500 	1.0
Коростень	Житомирская	67500 	1.0
Коростышев	Житомирская	27600 	1.0
Корсунь-Шевченковский	Черкасская	22700 	1.0
Корюковка	Черниговская	14800 	1.0
Косов	Ивано-Франковская	9300 	1.0
Костополь	Ровенская	32800 	1.0
Котлярка	Житомирская	490 	1.0
Котовск	Одесская	41400 	1.0
Краматорск	Донецкая	194000 	1.0
Крапивник	Ивано-Франковская	2239 	1.0
Красилов	Хмельницкая	22400 	1.0
Красино	Днепропетровская	1657 	1.0
